# name: candidate-2
# description: score 5236.91; pareto rank 1; shape Loop; distance 4.04 km; ascent/descent 96/96 m; difficulty 1010.87; road 2.0%; low-confidence 0.0%; restricted-access 41.6%; repeated-edge 0.0%; constraints violated; violations difficulty 1010.87 above maximum 90.00 | restricted-access fraction 41.6% above maximum 0.0%
# activity: hiking
longitude,latitude,elevation_m
-105.0000000,40.0000000,1640.000
-104.9997398,40.0000000,1639.480
-104.9997398,40.0000000,1639.480
-104.9994463,40.0000000,1638.893
-104.9994463,40.0000000,1638.893
-104.9991528,40.0000000,1638.306
-104.9991528,40.0000000,1638.306
-104.9988593,40.0000000,1637.719
-104.9988593,40.0000000,1637.719
-104.9985658,40.0000000,1637.132
-104.9985658,40.0000000,1637.132
-104.9982723,40.0000000,1636.545
-104.9982723,40.0000000,1636.545
-104.9979788,40.0000000,1635.958
-104.9979788,40.0000000,1635.958
-104.9976853,40.0000000,1635.371
-104.9976853,40.0000000,1635.371
-104.9973918,40.0000000,1634.784
-104.9973918,40.0000000,1634.784
-104.9970983,40.0000000,1634.197
-104.9970983,40.0000000,1634.197
-104.9968048,40.0000000,1633.610
-104.9968048,40.0000000,1633.610
-104.9965114,40.0000000,1633.023
-104.9965114,40.0000000,1633.023
-104.9962179,40.0000000,1632.436
-104.9962179,40.0000000,1632.436
-104.9959244,40.0000000,1631.849
-104.9959244,40.0000000,1631.849
-104.9956309,40.0000000,1631.262
-104.9956309,40.0000000,1631.262
-104.9953374,40.0000000,1630.675
-104.9953374,40.0000000,1630.675
-104.9950439,40.0000000,1630.088
-104.9950439,40.0000000,1630.088
-104.9947504,40.0000000,1629.501
-104.9947504,40.0000000,1629.501
-104.9944569,40.0000000,1628.914
-104.9944569,40.0000000,1628.914
-104.9941634,40.0000000,1628.327
-104.9941634,40.0000000,1628.327
-104.9938699,40.0000000,1627.740
-104.9938699,40.0000000,1627.740
-104.9935764,40.0000000,1627.153
-104.9935764,40.0000000,1627.153
-104.9932829,40.0000000,1626.566
-104.9932829,40.0000000,1626.566
-104.9929894,40.0000000,1625.979
-104.9929894,40.0000000,1625.979
-104.9926959,40.0000000,1625.392
-104.9926959,40.0000000,1625.392
-104.9924024,40.0000000,1624.805
-104.9924024,40.0000000,1624.805
-104.9921089,40.0000000,1624.218
-104.9921089,40.0000000,1624.218
-104.9918154,40.0000000,1623.631
-104.9918154,40.0000000,1623.631
-104.9915219,40.0000000,1623.044
-104.9915219,40.0000000,1623.044
-104.9912284,40.0000000,1622.457
-104.9912284,40.0000000,1622.457
-104.9909349,40.0000000,1621.870
-104.9909349,40.0000000,1621.870
-104.9906415,40.0000000,1621.283
-104.9906415,40.0000000,1621.283
-104.9903480,40.0000000,1620.696
-104.9903480,40.0000000,1620.696
-104.9900545,40.0000000,1620.109
-104.9900545,40.0000000,1620.109
-104.9897610,40.0000000,1619.522
-104.9897610,40.0000000,1619.522
-104.9894675,40.0000000,1618.935
-104.9894675,40.0000000,1618.935
-104.9891740,40.0000000,1618.348
-104.9891740,40.0000000,1618.348
-104.9888805,40.0000000,1617.761
-104.9888805,40.0000000,1617.761
-104.9885870,40.0000000,1617.174
-104.9885870,40.0000000,1617.174
-104.9882935,40.0000000,1616.587
-104.9882935,40.0000000,1616.587
-104.9880000,40.0000000,1616.000
-104.9880000,40.0000840,1616.840
-104.9880000,40.0003088,1619.088
-104.9880000,40.0005337,1621.337
-104.9880000,40.0005337,1621.337
-104.9880000,40.0007585,1623.585
-104.9880000,40.0009833,1625.833
-104.9880000,40.0012082,1628.082
-104.9880000,40.0012082,1628.082
-104.9880000,40.0014330,1630.330
-104.9880000,40.0016578,1632.578
-104.9880000,40.0018826,1634.826
-104.9880000,40.0018826,1634.826
-104.9880000,40.0021075,1637.075
-104.9880000,40.0023323,1639.323
-104.9880000,40.0025571,1641.571
-104.9880000,40.0025571,1641.571
-104.9880000,40.0027820,1643.820
-104.9880000,40.0030068,1646.068
-104.9880000,40.0032316,1648.316
-104.9880000,40.0032316,1648.316
-104.9880000,40.0034565,1650.565
-104.9880000,40.0036813,1652.813
-104.9880000,40.0036813,1652.813
-104.9880000,40.0039061,1655.061
-104.9880000,40.0041309,1657.309
-104.9880000,40.0043558,1659.558
-104.9880000,40.0043558,1659.558
-104.9880000,40.0045806,1661.806
-104.9880000,40.0048054,1664.054
-104.9880000,40.0050303,1666.200
-104.9880000,40.0050303,1666.200
-104.9880000,40.0052551,1667.684
-104.9880000,40.0054799,1669.168
-104.9880000,40.0057048,1670.651
-104.9880000,40.0057048,1670.651
-104.9880000,40.0059296,1672.135
-104.9880000,40.0061544,1673.619
-104.9880000,40.0063792,1675.103
-104.9880000,40.0063792,1675.103
-104.9880000,40.0066041,1676.587
-104.9880000,40.0068289,1678.071
-104.9880000,40.0070537,1679.555
-104.9880000,40.0070537,1679.555
-104.9880000,40.0072786,1681.039
-104.9880000,40.0075034,1682.522
-104.9880000,40.0077282,1684.006
