# name: candidate-3
# description: score 9704.50; pareto rank 2; shape Loop; distance 4.04 km; ascent/descent 113/113 m; sustained-steep 0.00 km; grade flat 49.6%, rolling 50.4%, steep 0.0%, savage 0.0%; difficulty 2011.84; road 2.0%; low-confidence 0.0%; restricted-access 74.7%; repeated-edge 0.0%; constraints violated; violations difficulty 2011.84 above maximum 90.00 | restricted-access fraction 74.7% above maximum 0.0%
# activity: hiking
longitude,latitude,elevation_m
-105.0000000,40.0000000,1640.000
-105.0000000,40.0002248,1642.248
-105.0000000,40.0004497,1644.497
-105.0000000,40.0004497,1644.497
-105.0000000,40.0006745,1646.745
-105.0000000,40.0008993,1648.993
-105.0000000,40.0011242,1651.242
-105.0000000,40.0011242,1651.242
-105.0000000,40.0013490,1653.490
-105.0000000,40.0015738,1655.738
-105.0000000,40.0017986,1657.986
-105.0000000,40.0017986,1657.986
-105.0000000,40.0020235,1660.235
-105.0000000,40.0022483,1662.483
-105.0000000,40.0024731,1664.731
-105.0000000,40.0026980,1666.980
-105.0000000,40.0026980,1666.980
-105.0000000,40.0029228,1669.228
-105.0000000,40.0029228,1669.228
-105.0000000,40.0031476,1671.476
-105.0000000,40.0033725,1673.725
-105.0000000,40.0035973,1675.973
-105.0000000,40.0035973,1675.973
-105.0000000,40.0038221,1678.221
-105.0000000,40.0040469,1680.469
-105.0000000,40.0042718,1682.718
-105.0000000,40.0042718,1682.718
-105.0000000,40.0044966,1684.966
-105.0000000,40.0047214,1687.214
-105.0000000,40.0049463,1689.463
-105.0000000,40.0049463,1689.463
-105.0000000,40.0051711,1691.540
-105.0000000,40.0053959,1693.563
-105.0000000,40.0056208,1695.587
-105.0000000,40.0056208,1695.587
-105.0000000,40.0058456,1697.610
-105.0000000,40.0060704,1699.634
-105.0000000,40.0062952,1701.657
-105.0000000,40.0062952,1701.657
-105.0000000,40.0065201,1703.681
-105.0000000,40.0067449,1705.704
-105.0000000,40.0069697,1707.728
-105.0000000,40.0069697,1707.728
-105.0000000,40.0071946,1709.751
-105.0000000,40.0074194,1711.775
-105.0000000,40.0076442,1713.798
-105.0000000,40.0076442,1713.798
-105.0000000,40.0078691,1715.821
-105.0000000,40.0080939,1717.845
-105.0000000,40.0083187,1719.868
-105.0000000,40.0083187,1719.868
-105.0000000,40.0085435,1721.892
-105.0000000,40.0087684,1723.915
